Date,Adj_Close,Close,High,Low,Open,Volume
31-10-1996,2.221966505,5.734375,5.765625,5.71875,5.75,2928800
01-11-1996,2.228021145,5.75,5.78125,5.71875,5.765625,1808000
04-11-1996,2.246184826,5.796875,5.8125,5.734375,5.75,3467200
05-11-1996,2.288565159,5.90625,5.90625,5.78125,5.78125,2477600
06-11-1996,2.312783957,5.96875,5.96875,5.890625,5.890625,4163200
07-11-1996,2.324891806,6,6.015625,5.953125,5.96875,4952000
08-11-1996,2.318837643,5.984375,6,5.96875,6,2777600
11-11-1996,2.306730509,5.953125,5.984375,5.9375,5.984375,2096000
12-11-1996,2.306730509,5.953125,5.984375,5.921875,5.953125,4469600
13-11-1996,2.312783957,5.96875,5.984375,5.953125,5.984375,1160800
14-11-1996,2.306730509,5.953125,5.96875,5.921875,5.921875,2354400
15-11-1996,2.282510757,5.890625,5.984375,5.859375,5.984375,2766400
18-11-1996,2.27645731,5.875,5.90625,5.859375,5.890625,1561600
19-11-1996,2.270401955,5.859375,5.921875,5.828125,5.890625,3406400
20-11-1996,2.264348745,5.84375,5.859375,5.796875,5.828125,2758400
21-11-1996,2.246184826,5.796875,5.859375,5.78125,5.84375,5792000
22-11-1996,2.234076262,5.765625,5.8125,5.75,5.796875,4852000
25-11-1996,2.246184826,5.796875,5.828125,5.78125,5.796875,23280000
26-11-1996,2.23811245,5.71875,5.78125,5.703125,5.765625,6439200
27-11-1996,2.256457567,5.765625,5.765625,5.6875,5.734375,3329600
29-11-1996,2.256457567,5.765625,5.8125,5.765625,5.796875,1028800
02-12-1996,2.244227171,5.734375,5.75,5.703125,5.75,944800
03-12-1996,2.231997013,5.703125,5.765625,5.703125,5.71875,3362400
04-12-1996,2.256457567,5.765625,5.765625,5.65625,5.6875,2504800
05-12-1996,2.225883007,5.6875,5.796875,5.6875,5.75,2767200
06-12-1996,2.189192533,5.59375,5.640625,5.546875,5.5625,3539200
09-12-1996,2.189192533,5.59375,5.640625,5.578125,5.625,994400
10-12-1996,2.170847178,5.546875,5.59375,5.53125,5.578125,1000800
11-12-1996,2.152501822,5.5,5.515625,5.453125,5.515625,2530400
12-12-1996,2.128040552,5.4375,5.53125,5.4375,5.53125,2421600
13-12-1996,2.152501822,5.5,5.515625,5.40625,5.4375,2070400
16-12-1996,2.140272379,5.46875,5.53125,5.46875,5.46875,2504000
17-12-1996,2.115811586,5.40625,5.515625,5.390625,5.453125,5371200
18-12-1996,2.140272379,5.46875,5.515625,5.40625,5.40625,6128800
19-12-1996,2.176962614,5.5625,5.5625,5.484375,5.5,2200800
20-12-1996,2.183077097,5.578125,5.625,5.53125,5.609375,4171200
23-12-1996,2.207538128,5.640625,5.640625,5.5625,5.578125,1848800
24-12-1996,2.213652372,5.65625,5.65625,5.625,5.640625,712800
26-12-1996,2.219769001,5.671875,5.703125,5.65625,5.65625,2172000
27-12-1996,2.250343323,5.75,5.75,5.6875,5.703125,2652800
30-12-1996,2.256457567,5.765625,5.78125,5.75,5.75,3161600
31-12-1996,2.250343323,5.75,5.78125,5.734375,5.75,2548800
02-01-1997,2.231997013,5.703125,5.75,5.640625,5.75,2601600
03-01-1997,2.213652372,5.65625,5.71875,5.640625,5.71875,1329600
06-01-1997,2.201423407,5.625,5.6875,5.5625,5.65625,5457600
07-01-1997,2.231997013,5.703125,5.703125,5.578125,5.59375,3364000
08-01-1997,2.219769001,5.671875,5.71875,5.625,5.71875,2462400
09-01-1997,2.225883007,5.6875,5.734375,5.640625,5.6875,2451200
10-01-1997,2.219769001,5.671875,5.671875,5.625,5.65625,2234400
13-01-1997,2.213652372,5.65625,5.703125,5.625,5.6875,4743200
14-01-1997,2.207538128,5.640625,5.671875,5.609375,5.671875,2074400
15-01-1997,2.213652372,5.65625,5.65625,5.609375,5.609375,4511200
16-01-1997,2.207538128,5.640625,5.671875,5.578125,5.671875,3425600
17-01-1997,2.207538128,5.640625,5.671875,5.640625,5.65625,2464000
20-01-1997,2.213652372,5.65625,5.6875,5.625,5.65625,4717600
21-01-1997,2.244227171,5.734375,5.75,5.609375,5.609375,3637600
22-01-1997,2.2748034,5.8125,5.828125,5.703125,5.734375,2183200
23-01-1997,2.244227171,5.734375,5.84375,5.734375,5.828125,2367200
24-01-1997,2.219769001,5.671875,5.734375,5.671875,5.71875,2356000
27-01-1997,2.219769001,5.671875,5.71875,5.640625,5.671875,1974400
28-01-1997,2.219769001,5.671875,5.75,5.65625,5.703125,2344800
29-01-1997,2.201423407,5.625,5.6875,5.578125,5.65625,1478400
30-01-1997,2.189192533,5.59375,5.671875,5.5625,5.625,3804000
